account,total_sent,avg_sent,max_sent,std_sent,n_sent,total_recv,avg_recv,max_recv,std_recv,n_recv,unique_dest,unique_source,drain_rate,tx_count,passthrough_ratio,fanout_ratio,degree_ratio,round_tx_count,small_round_tx_rate,cashout_rate,out_degree,in_degree,pagerank,betweenness,clustering,component_size,degree_ratio_graph,active_days,max_gap_days,burst_ratio,weekly_cv,max_weekly_txns,mean_weekly_txns,tx_velocity_1d,tx_velocity_7d,tx_velocity_30d,sudden_wakeup,small_round_txns,is_fraud
ACC000010,26718.0,2671.8,11779.53,3409.637926476456,10.0,10986.5,3662.1666666666665,8244.69,4195.438295867708,3.0,10.0,3.0,0.0,13.0,2.4318936874862884,0.99999990000001,2.75,0.0,0.0,0.0,10,3,6.409349601989222e-05,0.0044967987194877955,0.0,5000,2.75,155,42.900625,1.5384615384615383,0.3715737627228061,2,1.3,1,2,2,0,0,0
ACC000011,8511.91,1215.9871428571428,3108.32,1064.8446414182413,7.0,5697.18,712.1475,1858.63,560.3828871341962,8.0,7.0,8.0,0.0,15.0,1.4940567084954208,0.9999998571428775,0.8888888888888888,0.0,0.0,0.0,7,8,0.00012611078486119003,2.4009603841536614e-05,1.6913410530987557e-05,5000,0.8888888888888888,156,48.899907407407404,2.4,0.4972652484064488,3,1.25,1,1,1,0,0,0
ACC000012,2581.45,322.68125,1067.67,319.70917375628835,8.0,42392.76,4710.306666666667,16176.49,6408.556462240541,9.0,8.0,9.0,0.0,17.0,0.06089365259395958,0.9999998750000157,0.9,0.0,0.0,0.0,8,9,0.00030716096443245746,0.0015106042416966788,0.0,5000,0.9,132,37.68375,2.588235294117647,0.6701753114647583,4,1.5454545454545454,1,1,2,0,0,0
ACC000013,21139.03,1921.7299999999998,7307.49,2408.598058713824,11.0,12586.460000000001,1398.4955555555557,9029.53,2895.620096508307,9.0,11.0,9.0,0.0,20.0,1.6795055955622542,0.9999999090909174,1.2,0.0,0.0,0.0,11,9,0.00015360385616781266,0.0024259703881552622,0.0,5000,1.2,156,18.582326388888887,2.4,0.4618802153517006,3,1.25,1,1,1,0,0,0
ACC000014,69871.25,6351.931818181818,50000.0,14688.476982389848,11.0,1527.9599999999998,381.98999999999995,1117.54,494.50311256182533,4.0,11.0,4.0,0.0,15.0,45.72845490344744,0.9999999090909174,2.4,1.0,0.09090908264462885,0.0,11,4,4.455333688322662e-05,0.0010774309723889557,2.2858067305416706e-05,5000,2.4,167,49.03895833333333,1.7333333333333334,0.32546263368615136,2,1.1538461538461537,1,1,3,0,0,0
ACC000015,1048.65,524.325,920.98,560.9548805831,2.0,20406.6,6802.2,11102.74,4814.473707852188,3.0,2.0,3.0,0.0,5.0,0.051387786301912736,0.99999950000025,0.75,0.0,0.0,0.0,2,3,0.0001441214500365198,0.0,0.0,5000,0.75,133,54.092511574074074,1.0,0.0,1,1.0,1,1,1,0,0,0
ACC000016,13481.85,1497.9833333333333,9928.62,3176.814836742929,9.0,57046.4,9507.733333333334,50000.0,19924.571841394903,6.0,9.0,6.0,0.0,15.0,0.23633130223403526,0.9999998888889013,1.4285714285714286,0.0,0.0,0.0,9,6,0.00038114670776906163,0.0020098039215686275,0.0,5000,1.4285714285714286,107,23.586400462962963,2.0,0.47140452079103173,3,1.5,1,2,2,0,0,0
ACC000017,24439.03,2715.4477777777774,9264.1,3051.6459171968895,9.0,2844.13,355.51625,1028.31,361.34072270355654,8.0,9.0,8.0,0.0,17.0,8.592796388142315,0.9999998888889013,1.1111111111111112,0.0,0.0,0.0,9,8,4.5886210532539225e-05,0.0006492597038815527,0.0,5000,1.1111111111111112,174,38.64605324074074,2.1176470588235294,0.4719232400622504,3,1.4166666666666667,1,1,2,0,0,0
ACC000018,59499.380000000005,7437.422500000001,28361.8,9626.308732521591,8.0,11886.69,1320.7433333333333,7809.68,2482.8724056926485,9.0,8.0,9.0,0.0,17.0,5.005546539448278,0.9999998750000157,0.9,0.0,0.0,0.0,8,9,0.00017610230048896298,0.0006502601040416167,0.0,5000,0.9,131,24.984675925925927,2.1176470588235294,0.5597375019520652,3,1.4166666666666667,2,3,6,0,0,0
ACC000019,38479.17,4809.89625,15595.16,6201.801655431468,8.0,11690.75,1461.34375,4600.26,1686.8652718911787,8.0,8.0,8.0,0.0,16.0,3.2914201395726175,0.9999998750000157,1.0,0.0,0.0,0.0,8,8,0.00012966935527651834,0.0021338535414165668,0.0,5000,1.0,172,51.31761574074074,1.625,0.3563048203434806,2,1.2307692307692308,1,2,2,0,0,0
ACC000020,2766.91,461.15166666666664,2389.65,946.1641062187186,6.0,14483.220000000001,3620.8050000000003,13607.93,6662.440413574694,4.0,6.0,4.0,0.0,10.0,0.19104246153886753,0.9999998333333611,1.4,0.0,0.0,0.0,6,4,0.00011080641592876679,0.001789715886354542,0.0,5000,1.4,152,42.02322916666667,2.1,0.5507570547286103,3,1.4285714285714286,1,2,3,0,0,0
ACC000021,3408.65,486.95,1680.96,555.4893678250437,7.0,4626.61,660.9442857142857,1932.72,638.6459738085763,7.0,7.0,7.0,0.0,14.0,0.73674893696751,0.9999998571428775,1.0,0.0,0.0,0.0,7,7,8.330839711358389e-05,0.00032112845138055224,0.0,5000,1.0,162,30.93337962962963,1.7142857142857142,0.3336424046406527,2,1.1666666666666667,1,1,2,0,0,0
ACC000022,12766.4,1276.6399999999999,2302.1,897.5739182435678,10.0,30904.77,2575.3975,22377.79,6344.262308975976,12.0,10.0,12.0,0.0,22.0,0.41308833554130675,0.99999990000001,0.8461538461538461,0.0,0.0,0.0,10,12,0.0002391117005198209,0.010332776326611046,1.3387456282161346e-06,5000,0.8461538461538461,161,30.294328703703705,1.9090909090909092,0.4810456929208346,3,1.5714285714285714,1,1,1,0,0,0
ACC000023,5776.120000000001,825.1600000000001,2243.13,839.2708210504323,7.0,10230.52,852.5433333333334,5029.84,1409.2328670484867,12.0,7.0,12.0,0.0,19.0,0.564596911929736,0.9999998571428775,0.6153846153846154,0.0,0.0,0.0,7,12,0.00031751301801732825,0.002964185674269708,0.0,5000,0.6153846153846154,177,21.29943287037037,1.7894736842105263,0.29714709975358455,2,1.1176470588235294,1,1,1,0,0,0
ACC000024,28377.16,4053.88,19872.27,7042.326357710214,7.0,13375.48,1910.782857142857,4121.85,1571.2498373769663,7.0,7.0,7.0,0.0,14.0,2.121580683300967,0.9999998571428775,1.0,0.0,0.0,0.0,7,7,0.00023767441654735388,0.00423969587835134,0.0,5000,1.0,159,25.616631944444446,2.142857142857143,0.49943278484292936,3,1.4,1,2,4,0,0,0
ACC000025,5114.4800000000005,639.3100000000001,2595.04,868.2288779710435,8.0,5357.76,765.3942857142857,1578.5,473.9238409230307,7.0,8.0,7.0,0.0,15.0,0.9545929640456846,0.9999998750000157,1.125,0.0,0.0,0.0,8,7,6.603277878629476e-05,0.00030112044817927173,0.0,5000,1.125,175,62.103912037037034,2.4,0.4972652484064488,3,1.25,1,1,2,0,0,0
ACC000026,138148.28,4604.942666666667,9891.22,3161.6236443713246,30.0,451338.57,9026.7714,19573.43,5900.559523302581,50.0,11.0,17.0,0.0,80.0,0.30608569526795354,0.36666665444444485,0.6078431372549019,0.0,0.0,0.0,11,17,0.00034891128047303876,0.0,0.0,5000,0.6666666666666666,148,61.25863425925926,8.375,2.592724864350674,67,8.0,1,1,1,1,0,1
ACC000027,42758.119999999995,3887.1018181818176,14672.53,4934.157501827071,11.0,4136.5,827.3,2402.42,955.3785672444196,5.0,11.0,5.0,0.0,16.0,10.336787136386608,0.9999999090909174,2.0,0.0,0.0,0.0,11,5,8.302500585990234e-05,0.0010344137655062026,0.0,5000,2.0,161,37.44430555555556,2.75,0.6422616289332566,4,1.4545454545454546,1,1,1,0,0,0
ACC000028,22046.07,2449.5633333333335,13288.9,4269.567679499295,9.0,61759.450000000004,4750.726923076923,35961.44,9736.28097656936,13.0,9.0,13.0,0.0,22.0,0.3569667475931705,0.9999998888889013,0.7142857142857143,0.0,0.0,0.0,9,13,0.00031866408267852264,0.0014675870348139256,0.0,5000,0.7142857142857143,175,25.831979166666667,1.5454545454545454,0.362925441424348,2,1.2941176470588236,1,2,3,0,0,0
ACC000029,57330.22,5733.022,50000.0,15569.874116110537,10.0,13802.820000000002,1725.3525000000002,6109.77,2392.902684271314,8.0,10.0,8.0,0.0,18.0,4.153515006052856,0.99999990000001,1.2222222222222223,1.0,0.09999999000000101,0.0,10,8,0.00023270162593626124,0.0009813925570228092,0.0,5000,1.2222222222222223,168,25.176516203703702,3.1111111111111107,0.6419935712209887,4,1.2857142857142858,1,1,1,0,0,0
ACC000030,21465.98,3577.6633333333334,10495.8,3825.834113772664,6.0,14760.54,1230.045,6813.56,2428.6748668152354,12.0,6.0,12.0,0.0,18.0,1.4542814828282513,0.9999998333333611,0.5384615384615384,0.0,0.0,0.0,6,12,0.00011977417185429769,8.303321328531414e-05,0.0,5000,0.5384615384615384,172,34.11736111111111,2.1666666666666665,0.5546288567359978,3,1.3846153846153846,1,1,2,0,0,0
ACC000031,7911.02,1582.2040000000002,6273.21,2665.7104166863287,5.0,15011.77,1501.1770000000001,6479.09,1936.6248975016647,10.0,5.0,10.0,0.0,15.0,0.5269878235193459,0.99999980000004,0.5454545454545454,0.0,0.0,0.0,5,10,0.0004705277934729193,0.002379951980792317,1.2666396373888817e-05,5000,0.5454545454545454,160,30.76443287037037,2.0,0.47140452079103173,3,1.5,1,1,1,0,0,0
ACC000032,95682.04000000001,11960.255000000001,50000.0,18665.074785627225,8.0,67120.02,7457.780000000001,40325.91,13452.571479314838,9.0,8.0,9.0,0.0,17.0,1.4255365239547675,0.9999998750000157,0.9,1.0,0.12499998437500197,0.0,8,9,0.0003508243327967215,0.00010004001600640257,0.0,5000,0.9,171,54.86068287037037,2.1176470588235294,0.4719232400622504,3,1.4166666666666667,1,1,3,0,0,0
ACC000033,24321.02,3040.1275,11064.02,3544.43217399487,8.0,4319.08,863.816,2084.03,751.8737947488263,5.0,8.0,5.0,0.0,13.0,5.631064947713155,0.9999998750000157,1.5,0.0,0.0,0.0,8,5,0.00013384678362889302,0.0004031612645058023,0.0,5000,1.5,148,42.54512731481481,2.5384615384615383,0.5102499677469846,3,1.1818181818181819,1,1,3,0,0,0
ACC000034,3589.69,1196.5633333333333,1822.66,903.7093712213754,3.0,7280.66,910.0825,4710.01,1585.8231077785083,8.0,3.0,8.0,0.0,11.0,0.49304458654942757,0.9999996666667778,0.4444444444444444,0.0,0.0,0.0,3,8,0.00010487924449842233,0.00019207683073229291,0.0,5000,0.4444444444444444,159,45.43688657407407,1.8181818181818181,0.28747978728803447,2,1.1,1,1,1,0,0,0
ACC000035,10467.73,1744.6216666666667,3260.67,1311.795652796832,6.0,374141.73,5502.084264705882,9949.99,2961.2173509561785,68.0,6.0,17.0,0.0,74.0,0.027977980429961722,0.9999998333333611,0.10144927536231885,0.0,0.0,0.0,6,17,0.0007926654930956485,4.101640656262505e-05,2.983604956724762e-05,5000,0.3888888888888889,173,42.702025462962965,6.675675675675675,1.9828596541570356,38,5.6923076923076925,1,1,2,1,0,0
ACC000036,56698.81,8099.83,47001.45,17278.95721092759,7.0,6653.75,831.71875,2114.94,721.0028604745615,8.0,7.0,8.0,0.0,15.0,8.521331578655444,0.9999998571428775,0.8888888888888888,0.0,0.0,0.0,7,8,9.592663619402451e-05,0.005023009203681473,0.0,5000,0.8888888888888888,177,35.35292824074074,1.6,0.36181361349331637,2,1.25,1,1,1,0,0,0
ACC000037,29896.05,1758.5911764705882,5860.0,2003.4870890645961,17.0,10467.71,1495.3871428571426,4216.45,1604.1157437221113,7.0,17.0,7.0,0.0,24.0,2.856025816262007,0.999999941176474,2.25,0.0,0.0,0.0,17,7,0.00011289336472538152,0.007923169267707083,2.8056226287593305e-06,5000,2.25,171,24.924386574074074,2.375,0.4448782605013046,3,1.263157894736842,1,3,4,0,0,0
ACC000038,12198.380000000001,1219.8380000000002,4995.64,1634.373211178456,10.0,38196.48,4244.053333333333,26342.64,8634.901747368061,9.0,10.0,9.0,0.0,19.0,0.3193587471850977,0.99999990000001,1.1,0.0,0.0,0.0,10,9,0.00021761382705822105,0.004428771508603441,0.0,5000,1.1,172,32.7628587962963,1.5789473684210527,0.36137187490820805,2,1.2666666666666666,1,1,2,0,0,0
ACC000039,14066.78,2009.5400000000002,8282.01,3260.822269811711,7.0,11855.919999999998,1975.9866666666665,8676.65,3396.365207751762,6.0,7.0,6.0,0.0,13.0,1.1864773040652707,0.9999998571428775,1.1428571428571428,0.0,0.0,0.0,7,6,5.5304002255979445e-05,0.006948779511804722,0.0,5000,1.1428571428571428,137,39.08827546296296,1.5384615384615383,0.37157376272280607,2,1.3,2,2,2,0,0,0
ACC000040,4249.9,607.1285714285714,2771.45,986.3588541267756,7.0,29950.879999999997,4278.697142857142,16217.39,5351.265323714614,7.0,7.0,7.0,0.0,14.0,0.1418956638288459,0.9999998571428775,1.0,0.0,0.0,0.0,7,7,0.0002799407786026761,9.003601440576231e-06,1.6948903407315696e-06,5000,1.0,162,34.86913194444445,1.5714285714285714,0.367006645104718,2,1.2727272727272727,1,1,2,0,0,0
ACC000041,18846.170000000002,2094.0188888888893,5002.56,1976.325215130625,9.0,20836.05,2083.605,9277.55,2734.6171429135497,10.0,9.0,10.0,0.0,19.0,0.9044982133895582,0.9999998888889013,0.9090909090909091,0.0,0.0,0.0,9,10,0.000262305012427895,0.002532012805122049,1.3140702818639158e-05,5000,0.9090909090909091,170,30.656886574074075,1.4736842105263157,0.36639116912546604,2,1.3571428571428572,1,1,3,0,0,0
ACC000042,20729.93,2303.3255555555556,8292.63,2690.8449672134175,9.0,23563.1,2142.1,16334.98,4768.495123227033,11.0,9.0,11.0,0.0,20.0,0.8797624251104582,0.9999998888889013,0.8333333333333334,0.0,0.0,0.0,9,11,0.00013391066860075728,0.005862344937975191,0.0,5000,0.8333333333333334,172,31.33431712962963,1.5,0.3659625273557,2,1.3333333333333333,1,1,3,0,0,0
ACC000043,4590.65,765.1083333333332,1559.65,708.2956306350243,6.0,5146.17,735.1671428571428,2423.29,835.3807094914727,7.0,6.0,7.0,0.0,13.0,0.8920517587075335,0.9999998333333611,0.875,0.0,0.0,0.0,6,7,9.613168912204697e-05,0.004608878727370345,0.0,5000,0.875,109,29.882662037037036,2.076923076923077,0.5029498781008469,3,1.4444444444444444,1,1,3,0,0,0
ACC000044,14184.08,1773.01,8387.34,2909.4046295861194,8.0,6320.89,1264.178,3991.69,1775.3360701765737,5.0,8.0,5.0,0.0,13.0,2.244000448948803,0.9999998750000157,1.5,0.0,0.0,0.0,8,5,4.0426619346077756e-05,0.016060424169667867,3.023119485342666e-06,5000,1.5,174,39.276944444444446,1.8461538461538463,0.5637694654233257,3,1.625,1,2,4,0,0,0
ACC000045,38061.18,6343.53,13181.74,6152.6947784430195,6.0,1505.61,250.93499999999997,730.43,239.859153900784,6.0,6.0,6.0,0.0,12.0,25.27957437498451,0.9999998333333611,1.0,0.0,0.0,0.0,6,6,8.55092827486801e-05,0.0032583033213285316,0.0,5000,1.0,162,47.22827546296296,1.8333333333333335,0.27638539919628335,2,1.0909090909090908,1,1,2,0,0,0
ACC000046,2363.62,787.8733333333333,1614.19,770.6628103349308,3.0,2824.94,564.988,1653.41,643.8398522691804,5.0,3.0,5.0,0.0,8.0,0.8366974162861167,0.9999996666667778,0.6666666666666666,0.0,0.0,0.0,3,5,5.706847087776837e-05,0.0002480992396958784,0.0,5000,0.6666666666666666,120,37.54915509259259,1.75,0.33071891388307384,2,1.1428571428571428,1,1,1,0,0,0
ACC000047,6949.62,772.18,3406.42,1052.0710201906525,9.0,5988.88,855.5542857142857,1899.35,752.6581139281665,7.0,9.0,7.0,0.0,16.0,1.1604206460706474,0.9999998888889013,1.25,0.0,0.0,0.0,9,7,8.589552107872875e-05,0.0015256102440976392,0.0,5000,1.25,169,34.51380787037037,2.25,0.48850421045919723,3,1.3333333333333333,1,1,1,0,0,0
ACC000048,17116.679999999997,2852.7799999999993,11758.13,4493.875272643868,6.0,13235.509999999998,1323.551,6567.44,1951.6986321575255,10.0,6.0,10.0,0.0,16.0,1.293239172401121,0.9999998333333611,0.6363636363636364,0.0,0.0,0.0,6,10,0.00011740502181872461,7.00280112044818e-05,1.1097116765776199e-05,5000,0.6363636363636364,173,24.786342592592593,1.625,0.3563048203434806,2,1.2307692307692308,1,1,2,0,0,0
ACC000049,6248.6900000000005,781.0862500000001,2568.2,802.9017091229161,8.0,89113.23,8101.202727272727,50000.0,15911.26654590645,11.0,8.0,11.0,0.0,19.0,0.07012078902234697,0.9999998750000157,0.75,0.0,0.0,0.0,8,11,0.000441729156047784,0.0001050420168067227,1.3721031674556437e-05,5000,0.75,165,34.068761574074074,2.2105263157894735,0.466659563835427,3,1.3571428571428572,1,1,1,0,0,0
ACC000050,25924.840000000004,4320.806666666667,21157.83,8261.368416219353,6.0,10976.75,997.8863636363636,3743.98,1130.4589090035315,11.0,6.0,11.0,0.0,17.0,2.36179561324055,0.9999998333333611,0.5833333333333334,0.0,0.0,0.0,6,11,8.248125445891216e-05,0.0001400560224089636,0.0,5000,0.5833333333333334,143,28.842037037037038,1.9411764705882353,0.44488636238091855,3,1.5454545454545454,1,1,2,0,0,0
ACC000051,25296.66,3162.0825,12605.16,4154.157057316201,8.0,609.61,609.61,609.61,0.0,1.0,8.0,1.0,0.0,9.0,41.49646488493222,0.9999998750000157,4.5,0.0,0.0,0.0,8,1,5.88585473737793e-05,0.0,0.0,5000,4.5,139,87.55686342592593,1.5555555555555554,0.37951669503554064,2,1.2857142857142858,1,1,5,0,0,0
ACC000052,7564.83,840.5366666666666,3258.31,986.6320632206314,9.0,56625.39,14156.3475,50000.0,23926.680727585783,4.0,9.0,4.0,0.0,13.0,0.13359431166595773,0.9999998888889013,2.0,0.0,0.0,0.0,9,4,0.0006693905551876651,0.0,4.702737903386884e-06,5000,2.0,117,23.767523148148147,1.6923076923076923,0.3422860840197998,2,1.1818181818181819,1,1,2,0,0,0
ACC000053,379531.88,8075.1463829787235,19602.24,5902.744947912102,47.0,1285093.3,25197.907843137255,49573.21,14461.730054881587,51.0,21.0,7.0,0.0,98.0,0.2953341053133688,0.44680850113173404,0.9230769230769231,0.0,0.0,0.0,21,7,0.00010528365720223293,0.00040616246498599443,0.0,5000,2.75,177,57.490763888888885,8.775510204081632,2.732459235224631,86,9.8,1,1,1,1,0,1
ACC000054,6081.49,868.7842857142857,2316.5,950.5544796040036,7.0,21018.88,2335.431111111111,15292.27,4922.324923081177,9.0,7.0,9.0,0.0,16.0,0.2893346362751329,0.9999998571428775,0.8,0.0,0.0,0.0,7,9,0.00025200718912584774,0.0013825530212084834,1.0640528669074604e-05,5000,0.8,154,34.84832175925926,1.625,0.3563048203434806,2,1.2307692307692308,1,1,2,0,0,0
ACC000055,21968.010000000002,2440.8900000000003,14518.36,4632.19933155947,9.0,8128.63,1161.2328571428573,4878.18,1739.2524988599203,7.0,9.0,7.0,0.0,16.0,2.702547661450632,0.9999998888889013,1.25,0.0,0.0,0.0,9,7,9.060869570080115e-05,0.0005142056822729092,0.0,5000,1.25,151,57.01980324074074,2.0625,0.4726917600297259,3,1.4545454545454546,1,2,4,0,0,0
ACC000056,30171.69,3771.46125,22529.01,7694.630158737673,8.0,72727.61,7272.761,50000.0,15263.534326186602,10.0,8.0,10.0,0.0,18.0,0.4148588135865477,0.9999998750000157,0.8181818181818182,0.0,0.0,0.0,8,10,0.00032495663144704455,0.00037915166066426574,2.417572946019711e-05,5000,0.8181818181818182,161,30.97017361111111,1.8333333333333333,0.41201102706087017,3,1.6363636363636365,1,2,3,0,0,0
ACC000057,25690.07,3670.0099999999998,18205.94,6545.18867142626,7.0,78027.64,7093.421818181818,37119.41,13047.06265233506,11.0,7.0,11.0,0.0,18.0,0.3292432015074499,0.9999998571428775,0.6666666666666666,0.0,0.0,0.0,7,11,0.0003260754847472881,0.0011344537815126052,0.0,5000,0.6666666666666666,178,27.836319444444445,1.4444444444444444,0.3657114381135463,2,1.3846153846153846,1,2,3,0,0,0
ACC000058,11857.4,1693.9142857142856,9017.47,3258.987256438504,7.0,59443.47,8491.924285714285,32026.72,11796.066406319322,7.0,7.0,7.0,0.0,14.0,0.19947355024530913,0.9999998571428775,1.0,0.0,0.0,0.0,7,7,0.0009617085829260939,0.0002951180472188876,0.0,5000,1.0,166,79.51253472222223,2.142857142857143,0.49943278484292936,3,1.4,1,2,4,0,0,0
ACC000059,71273.48,4751.565333333333,50000.0,12690.302236854424,15.0,47177.06,5897.1325,33978.7,11514.71693261001,8.0,15.0,8.0,0.0,23.0,1.5107656135945995,0.9999999333333378,1.7777777777777777,1.0,0.06666666222222252,0.0,15,8,0.0001526527526283735,0.00029811924769907963,5.26345459246302e-06,5000,1.7777777777777777,172,30.623368055555556,3.4782608695652173,0.7170618479335061,5,1.4375,1,2,2,0,0,0
ACC000060,26309.09,3758.441428571429,15117.71,5667.2700190580545,7.0,6820.5,1136.75,2936.94,1280.8571239291289,6.0,7.0,6.0,0.0,13.0,3.8573550320566885,0.9999998571428775,1.1428571428571428,0.0,0.0,0.0,7,6,3.721694509524545e-05,0.0004441776710684274,0.0,5000,1.1428571428571428,148,44.96826388888889,1.3846153846153846,0.36487819155789,2,1.4444444444444444,1,1,1,0,0,0
ACC000061,218617.44,4651.434893617022,20878.05,3744.4421563622695,47.0,619573.97,9993.128548387096,19733.53,5875.571440189736,62.0,12.0,13.0,0.0,109.0,0.35285123421122283,0.25531914350384805,0.7619047619047619,0.0,0.0,0.0,12,13,0.0006166376346986178,0.0006832733093237296,0.0,5000,0.9285714285714286,135,31.11517361111111,9.247706422018348,2.619779056402808,84,9.083333333333334,1,1,3,1,0,1
ACC000062,27097.0,2463.3636363636365,8890.65,3153.3434786596677,11.0,13598.94,2719.788,10749.49,4534.987820052002,5.0,11.0,5.0,0.0,16.0,1.9925817746094487,0.9999999090909174,2.0,0.0,0.0,0.0,11,5,0.00020344548418331005,0.008349339735894358,0.0,5000,2.0,172,33.64284722222222,2.4375,0.48680506023116343,3,1.2307692307692308,1,1,2,0,0,0
ACC000063,3976.2799999999997,441.8088888888889,1026.06,338.90501082325574,9.0,19442.929999999997,1620.2441666666664,13949.55,3906.331848130343,12.0,9.0,12.0,0.0,21.0,0.20451032842249034,0.9999998888889013,0.7692307692307693,0.0,0.0,0.0,9,12,0.00014130986426075687,0.0019277711084433775,4.489808534891674e-06,5000,0.7692307692307693,146,35.48486111111111,1.8571428571428572,0.47539616291656944,3,1.6153846153846154,1,1,2,0,0,0
ACC000064,29035.85,2639.622727272727,9867.5,3284.826963823485,11.0,85730.99,6594.691538461539,42700.48,12396.060137521416,13.0,11.0,13.0,0.0,24.0,0.3386855791547644,0.9999999090909174,0.8571428571428571,0.0,0.0,0.0,11,13,0.0004351481468872855,0.00027110844337735094,4.2280262427683945e-06,5000,0.8571428571428571,173,20.68857638888889,2.833333333333333,0.6164343593963953,4,1.411764705882353,1,1,3,0,0,0
