account,lifecycle_stage,rule_stage,risk_level,early_flag,is_fraud
ACC000065,Dormant,Dormant,0,0,0
ACC000066,Recruitment,Recruitment,2,1,0
ACC000067,Recruitment,Recruitment,2,1,0
ACC000068,Recruitment,Normal,2,1,0
ACC000069,Recruitment,Recruitment,2,1,0
ACC000070,Recruitment,Recruitment,2,1,0
ACC000071,Recruitment,Recruitment,2,1,0
ACC000072,Recruitment,Normal,2,1,0
ACC000073,Recruitment,Recruitment,2,1,0
ACC000074,Recruitment,Recruitment,2,1,0
ACC000075,Recruitment,Recruitment,2,1,0
ACC000076,Recruitment,Recruitment,2,1,0
ACC000077,Recruitment,Recruitment,2,1,0
ACC000078,Recruitment,Recruitment,2,1,0
ACC000079,Recruitment,Recruitment,2,1,0
ACC000080,Recruitment,Recruitment,2,1,0
ACC000081,Recruitment,Recruitment,2,1,0
ACC000082,Recruitment,Recruitment,2,1,0
ACC000083,Recruitment,Recruitment,2,1,0
ACC000084,Recruitment,Normal,2,1,0
ACC000085,Recruitment,Recruitment,2,1,0
ACC000086,Recruitment,Recruitment,2,1,0
ACC000087,Recruitment,Recruitment,2,1,0
ACC000088,Recruitment,Recruitment,2,1,0
ACC000089,Laundering,Laundering,5,0,1
ACC000090,Recruitment,Normal,2,1,0
ACC000091,Recruitment,Recruitment,2,1,0
ACC000092,Recruitment,Recruitment,2,1,0
ACC000093,Recruitment,Normal,2,1,0
ACC000094,Recruitment,Recruitment,2,1,0
ACC000095,Laundering,Laundering,5,0,1
ACC000096,Recruitment,Recruitment,2,1,0
ACC000097,Recruitment,Recruitment,2,1,0
ACC000098,Recruitment,Recruitment,2,1,0
ACC000099,Recruitment,Recruitment,2,1,0
ACC000100,Recruitment,Recruitment,2,1,0
ACC000101,Recruitment,Recruitment,2,1,0
ACC000102,Recruitment,Recruitment,2,1,0
ACC000103,Recruitment,Recruitment,2,1,0
ACC000104,Recruitment,Recruitment,2,1,0
ACC000105,Recruitment,Recruitment,2,1,0
ACC000106,Recruitment,Recruitment,2,1,0
ACC000107,Recruitment,Recruitment,2,1,0
ACC000108,Recruitment,Recruitment,2,1,0
ACC000109,Recruitment,Recruitment,2,1,0
ACC000110,Recruitment,Recruitment,2,1,0
ACC000111,Recruitment,Recruitment,2,1,0
ACC000112,Recruitment,Recruitment,2,1,0
ACC000113,Recruitment,Normal,2,1,0
ACC000114,Recruitment,Recruitment,2,1,0
ACC000115,Recruitment,Recruitment,2,1,0
ACC000116,Recruitment,Recruitment,2,1,0
ACC000117,Recruitment,Recruitment,2,1,0
ACC000118,Recruitment,Recruitment,2,1,0
ACC000119,Recruitment,Recruitment,2,1,0
ACC000120,Recruitment,Recruitment,2,1,0
ACC000121,Recruitment,Recruitment,2,1,0
ACC000122,Recruitment,Normal,2,1,0
ACC000123,Recruitment,Recruitment,2,1,0
ACC000124,Recruitment,Recruitment,2,1,0
ACC000125,Recruitment,Recruitment,2,1,0
ACC000126,Recruitment,Recruitment,2,1,0
ACC000127,Recruitment,Recruitment,2,1,0
ACC000128,Recruitment,Recruitment,2,1,0
ACC000129,Recruitment,Recruitment,2,1,0
ACC000130,Recruitment,Recruitment,2,1,0
ACC000131,Recruitment,Recruitment,2,1,0
ACC000132,Recruitment,Recruitment,2,1,0
ACC000133,Recruitment,Normal,2,1,0
ACC000134,Recruitment,Recruitment,2,1,0
ACC000135,Recruitment,Recruitment,2,1,0
ACC000136,Recruitment,Recruitment,2,1,0
ACC000137,Recruitment,Recruitment,2,1,0
ACC000138,Laundering,Laundering,5,0,0
ACC000139,Recruitment,Recruitment,2,1,0
ACC000140,Recruitment,Recruitment,2,1,0
ACC000141,Recruitment,Normal,2,1,0
ACC000142,Recruitment,Recruitment,2,1,0
ACC000143,Recruitment,Recruitment,2,1,0
ACC000144,Recruitment,Normal,2,1,0
ACC000145,Recruitment,Recruitment,2,1,0
ACC000146,Recruitment,Recruitment,2,1,0
ACC000147,Recruitment,Recruitment,2,1,0
ACC000148,Recruitment,Recruitment,2,1,0
ACC000149,Recruitment,Recruitment,2,1,0
ACC000150,Recruitment,Recruitment,2,1,0
ACC000151,Recruitment,Normal,2,1,0
ACC000152,Recruitment,Recruitment,2,1,0
ACC000153,Recruitment,Recruitment,2,1,0
ACC000154,Recruitment,Recruitment,2,1,0
ACC000155,Recruitment,Recruitment,2,1,0
ACC000156,Recruitment,Recruitment,2,1,0
ACC000157,Recruitment,Recruitment,2,1,0
ACC000158,Recruitment,Recruitment,2,1,0
ACC000159,Recruitment,Recruitment,2,1,0
ACC000160,Recruitment,Normal,2,1,0
ACC000161,Recruitment,Recruitment,2,1,0
ACC000162,Laundering,Laundering,5,0,1
ACC000163,Recruitment,Recruitment,2,1,0
ACC000164,Recruitment,Recruitment,2,1,0
ACC000165,Recruitment,Recruitment,2,1,0
ACC000166,Recruitment,Recruitment,2,1,0
ACC000167,Recruitment,Recruitment,2,1,0
ACC000168,Recruitment,Recruitment,2,1,0
ACC000169,Recruitment,Recruitment,2,1,0
ACC000170,Recruitment,Recruitment,2,1,0
ACC000171,Recruitment,Recruitment,2,1,0
ACC000172,Recruitment,Recruitment,2,1,0
ACC000173,Recruitment,Recruitment,2,1,0
ACC000174,Recruitment,Recruitment,2,1,0
ACC000175,Recruitment,Recruitment,2,1,0
ACC000176,Recruitment,Recruitment,2,1,0
ACC000177,Laundering,Laundering,5,0,1
ACC000178,Recruitment,Recruitment,2,1,0
ACC000179,Recruitment,Recruitment,2,1,0
ACC000180,Recruitment,Recruitment,2,1,0
ACC000181,Recruitment,Normal,2,1,0
ACC000182,Recruitment,Recruitment,2,1,0
ACC000183,Recruitment,Recruitment,2,1,0
ACC000184,Recruitment,Normal,2,1,0
ACC000185,Recruitment,Recruitment,2,1,0
ACC000186,Recruitment,Recruitment,2,1,0
ACC000187,Recruitment,Recruitment,2,1,0
ACC000188,Recruitment,Recruitment,2,1,0
ACC000189,Recruitment,Recruitment,2,1,0
ACC000190,Recruitment,Recruitment,2,1,0
ACC000191,Recruitment,Recruitment,2,1,0
ACC000192,Recruitment,Recruitment,2,1,0
ACC000193,Recruitment,Recruitment,2,1,0
ACC000194,Recruitment,Recruitment,2,1,0
ACC000195,Recruitment,Recruitment,2,1,0
ACC000196,Recruitment,Normal,2,1,0
ACC000197,Recruitment,Recruitment,2,1,0
ACC000198,Recruitment,Recruitment,2,1,0
ACC000199,Recruitment,Recruitment,2,1,0
ACC000200,Recruitment,Recruitment,2,1,0
ACC000201,Recruitment,Recruitment,2,1,0
ACC000202,Recruitment,Recruitment,2,1,0
ACC000203,Recruitment,Recruitment,2,1,0
ACC000204,Laundering,Laundering,5,0,1
ACC000205,Recruitment,Recruitment,2,1,0
ACC000206,Recruitment,Recruitment,2,1,0
ACC000207,Recruitment,Recruitment,2,1,0
ACC000208,Recruitment,Normal,2,1,0
ACC000209,Recruitment,Recruitment,2,1,0
ACC000210,Recruitment,Recruitment,2,1,0
ACC000211,Recruitment,Recruitment,2,1,0
ACC000212,Recruitment,Recruitment,2,1,0
ACC000213,Recruitment,Recruitment,2,1,0
ACC000214,Recruitment,Recruitment,2,1,0
ACC000215,Recruitment,Recruitment,2,1,0
ACC000216,Recruitment,Normal,2,1,0
ACC000217,Laundering,Laundering,5,0,1
ACC000218,Recruitment,Recruitment,2,1,0
ACC000219,Recruitment,Recruitment,2,1,0
ACC000220,Recruitment,Normal,2,1,0
ACC000221,Recruitment,Recruitment,2,1,0
ACC000222,Recruitment,Recruitment,2,1,0
ACC000223,Recruitment,Recruitment,2,1,0
ACC000224,Recruitment,Normal,2,1,0
ACC000225,Recruitment,Recruitment,2,1,0
ACC000226,Recruitment,Recruitment,2,1,0
ACC000227,Recruitment,Recruitment,2,1,0
ACC000228,Recruitment,Recruitment,2,1,0
ACC000229,Recruitment,Recruitment,2,1,0
ACC000230,Recruitment,Recruitment,2,1,0
ACC000231,Recruitment,Recruitment,2,1,0
ACC000232,Recruitment,Recruitment,2,1,0
ACC000233,Recruitment,Recruitment,2,1,0
ACC000234,Recruitment,Normal,2,1,0
ACC000235,Recruitment,Recruitment,2,1,0
ACC000236,Recruitment,Recruitment,2,1,0
ACC000237,Recruitment,Recruitment,2,1,0
ACC000238,Recruitment,Recruitment,2,1,0
ACC000239,Recruitment,Normal,2,1,0
ACC000240,Recruitment,Recruitment,2,1,0
ACC000241,Recruitment,Recruitment,2,1,0
ACC000242,Recruitment,Recruitment,2,1,0
ACC000243,Recruitment,Recruitment,2,1,0
ACC000244,Laundering,Normal,5,0,1
ACC000245,Recruitment,Recruitment,2,1,0
ACC000246,Recruitment,Normal,2,1,0
ACC000247,Recruitment,Recruitment,2,1,0
ACC000248,Recruitment,Recruitment,2,1,0
ACC000249,Recruitment,Normal,2,1,0
ACC000250,Recruitment,Recruitment,2,1,0
ACC000251,Recruitment,Recruitment,2,1,0
ACC000252,Recruitment,Recruitment,2,1,0
ACC000253,Recruitment,Recruitment,2,1,0
ACC000254,Recruitment,Recruitment,2,1,0
ACC000255,Recruitment,Normal,2,1,0
ACC000256,Recruitment,Recruitment,2,1,0
ACC000257,Recruitment,Recruitment,2,1,0
ACC000258,Recruitment,Recruitment,2,1,0
ACC000259,Recruitment,Recruitment,2,1,0
ACC000260,Laundering,Laundering,5,0,1
ACC000261,Recruitment,Normal,2,1,0
ACC000262,Recruitment,Recruitment,2,1,0
ACC000263,Recruitment,Recruitment,2,1,0
ACC000264,Recruitment,Recruitment,2,1,0
ACC000265,Recruitment,Recruitment,2,1,0
ACC000266,Recruitment,Recruitment,2,1,0
ACC000267,Laundering,Laundering,5,0,1
ACC000268,Recruitment,Recruitment,2,1,0
ACC000269,Laundering,Laundering,5,0,1
ACC000270,Recruitment,Recruitment,2,1,0
ACC000271,Recruitment,Recruitment,2,1,0
ACC000272,Recruitment,Recruitment,2,1,0
ACC000273,Recruitment,Recruitment,2,1,0
ACC000274,Recruitment,Recruitment,2,1,0
ACC000275,Recruitment,Recruitment,2,1,0
ACC000276,Recruitment,Recruitment,2,1,0
ACC000277,Recruitment,Recruitment,2,1,0
ACC000278,Recruitment,Recruitment,2,1,0
ACC000279,Recruitment,Recruitment,2,1,0
ACC000280,Recruitment,Normal,2,1,0
ACC000281,Recruitment,Recruitment,2,1,0
ACC000282,Recruitment,Recruitment,2,1,0
ACC000283,Recruitment,Recruitment,2,1,0
ACC000284,Recruitment,Normal,2,1,0
ACC000285,Recruitment,Recruitment,2,1,0
ACC000286,Recruitment,Recruitment,2,1,0
ACC000287,Recruitment,Recruitment,2,1,0
ACC000288,Recruitment,Normal,2,1,0
ACC000289,Recruitment,Recruitment,2,1,0
ACC000290,Recruitment,Recruitment,2,1,0
ACC000291,Recruitment,Recruitment,2,1,0
ACC000292,Recruitment,Recruitment,2,1,0
ACC000293,Recruitment,Recruitment,2,1,0
ACC000294,Recruitment,Recruitment,2,1,0
ACC000295,Recruitment,Recruitment,2,1,0
ACC000296,Recruitment,Recruitment,2,1,0
ACC000297,Recruitment,Recruitment,2,1,0
ACC000298,Recruitment,Recruitment,2,1,0
ACC000299,Recruitment,Recruitment,2,1,0
ACC000300,Recruitment,Recruitment,2,1,0
ACC000301,Recruitment,Recruitment,2,1,0
ACC000302,Recruitment,Recruitment,2,1,0
ACC000303,Recruitment,Recruitment,2,1,0
ACC000304,Recruitment,Recruitment,2,1,0
ACC000305,Recruitment,Normal,2,1,0
ACC000306,Recruitment,Recruitment,2,1,0
ACC000307,Recruitment,Recruitment,2,1,0
ACC000308,Recruitment,Normal,2,1,0
ACC000309,Recruitment,Recruitment,2,1,0
ACC000310,Recruitment,Recruitment,2,1,0
ACC000311,Recruitment,Recruitment,2,1,0
ACC000312,Recruitment,Recruitment,2,1,0
ACC000313,Recruitment,Recruitment,2,1,0
ACC000314,Recruitment,Recruitment,2,1,0
ACC000315,Recruitment,Recruitment,2,1,0
ACC000316,Recruitment,Recruitment,2,1,0
ACC000317,Recruitment,Recruitment,2,1,0
ACC000318,Recruitment,Recruitment,2,1,0
ACC000319,Recruitment,Recruitment,2,1,0
ACC000320,Recruitment,Recruitment,2,1,0
ACC000321,Recruitment,Recruitment,2,1,0
ACC000322,Recruitment,Recruitment,2,1,0
ACC000323,Laundering,Laundering,5,0,1
ACC000324,Recruitment,Recruitment,2,1,0
ACC000325,Recruitment,Recruitment,2,1,0
ACC000326,Recruitment,Recruitment,2,1,0
ACC000327,Recruitment,Recruitment,2,1,0
ACC000328,Recruitment,Recruitment,2,1,0
ACC000329,Recruitment,Recruitment,2,1,0
ACC000330,Recruitment,Recruitment,2,1,0
ACC000331,Recruitment,Recruitment,2,1,0
ACC000332,Recruitment,Recruitment,2,1,0
ACC000333,Recruitment,Recruitment,2,1,0
ACC000334,Recruitment,Recruitment,2,1,0
ACC000335,Recruitment,Normal,2,1,0
ACC000336,Recruitment,Recruitment,2,1,0
ACC000337,Recruitment,Recruitment,2,1,0
ACC000338,Recruitment,Recruitment,2,1,0
ACC000339,Recruitment,Recruitment,2,1,0
ACC000340,Recruitment,Recruitment,2,1,0
ACC000341,Recruitment,Recruitment,2,1,0
ACC000342,Recruitment,Recruitment,2,1,0
ACC000343,Recruitment,Recruitment,2,1,0
ACC000344,Recruitment,Recruitment,2,1,0
ACC000345,Recruitment,Recruitment,2,1,0
ACC000346,Recruitment,Normal,2,1,0
ACC000347,Recruitment,Recruitment,2,1,0
ACC000348,Recruitment,Recruitment,2,1,0
ACC000349,Recruitment,Recruitment,2,1,0
ACC000350,Recruitment,Recruitment,2,1,0
ACC000351,Recruitment,Recruitment,2,1,0
ACC000352,Recruitment,Recruitment,2,1,0
ACC000353,Recruitment,Normal,2,1,0
ACC000354,Recruitment,Recruitment,2,1,0
ACC000355,Recruitment,Normal,2,1,0
ACC000356,Recruitment,Recruitment,2,1,0
ACC000357,Recruitment,Recruitment,2,1,0
ACC000358,Recruitment,Recruitment,2,1,0
ACC000359,Laundering,Laundering,5,0,1
ACC000360,Recruitment,Recruitment,2,1,0
ACC000361,Recruitment,Recruitment,2,1,0
ACC000362,Recruitment,Recruitment,2,1,0
ACC000363,Recruitment,Recruitment,2,1,0
ACC000364,Recruitment,Recruitment,2,1,0
ACC000365,Recruitment,Recruitment,2,1,0
ACC000366,Recruitment,Recruitment,2,1,0
ACC000367,Recruitment,Recruitment,2,1,0
ACC000368,Recruitment,Normal,2,1,0
ACC000369,Recruitment,Recruitment,2,1,0
ACC000370,Recruitment,Recruitment,2,1,0
ACC000371,Recruitment,Recruitment,2,1,0
ACC000372,Recruitment,Normal,2,1,0
ACC000373,Recruitment,Recruitment,2,1,0
ACC000374,Recruitment,Normal,2,1,0
ACC000375,Recruitment,Recruitment,2,1,0
ACC000376,Recruitment,Recruitment,2,1,0
ACC000377,Recruitment,Recruitment,2,1,0
ACC000378,Recruitment,Normal,2,1,0
ACC000379,Recruitment,Recruitment,2,1,0
ACC000380,Recruitment,Recruitment,2,1,0
ACC000381,Laundering,Laundering,5,0,1
ACC000382,Recruitment,Recruitment,2,1,0
ACC000383,Recruitment,Recruitment,2,1,0
ACC000384,Recruitment,Normal,2,1,0
ACC000385,Recruitment,Recruitment,2,1,0
ACC000386,Recruitment,Recruitment,2,1,0
ACC000387,Recruitment,Recruitment,2,1,0
ACC000388,Recruitment,Recruitment,2,1,0
ACC000389,Recruitment,Recruitment,2,1,0
ACC000390,Recruitment,Recruitment,2,1,0
ACC000391,Recruitment,Normal,2,1,0
ACC000392,Recruitment,Recruitment,2,1,0
ACC000393,Laundering,Laundering,5,0,1
ACC000394,Recruitment,Recruitment,2,1,0
ACC000395,Recruitment,Recruitment,2,1,0
ACC000396,Recruitment,Normal,2,1,0
ACC000397,Recruitment,Recruitment,2,1,0
ACC000398,Recruitment,Recruitment,2,1,0
ACC000399,Recruitment,Recruitment,2,1,0
ACC000400,Recruitment,Recruitment,2,1,0
ACC000401,Recruitment,Normal,2,1,0
ACC000402,Recruitment,Recruitment,2,1,0
ACC000403,Recruitment,Recruitment,2,1,0
ACC000404,Recruitment,Recruitment,2,1,0
ACC000405,Recruitment,Recruitment,2,1,0
ACC000406,Recruitment,Recruitment,2,1,0
ACC000407,Recruitment,Recruitment,2,1,0
ACC000408,Recruitment,Recruitment,2,1,0
ACC000409,Recruitment,Normal,2,1,0
ACC000410,Recruitment,Recruitment,2,1,0
ACC000411,Recruitment,Recruitment,2,1,0
ACC000412,Recruitment,Recruitment,2,1,0
ACC000413,Recruitment,Recruitment,2,1,0
ACC000414,Recruitment,Recruitment,2,1,0
ACC000415,Recruitment,Recruitment,2,1,0
ACC000416,Recruitment,Recruitment,2,1,0
ACC000417,Recruitment,Recruitment,2,1,0
ACC000418,Recruitment,Normal,2,1,0
ACC000419,Recruitment,Recruitment,2,1,0
ACC000420,Recruitment,Recruitment,2,1,0
ACC000421,Recruitment,Recruitment,2,1,0
ACC000422,Recruitment,Recruitment,2,1,0
ACC000423,Recruitment,Recruitment,2,1,0
ACC000424,Recruitment,Recruitment,2,1,0
ACC000425,Recruitment,Normal,2,1,0
ACC000426,Recruitment,Normal,2,1,0
ACC000427,Recruitment,Recruitment,2,1,0
ACC000428,Recruitment,Recruitment,2,1,0
ACC000429,Recruitment,Recruitment,2,1,0
ACC000430,Recruitment,Normal,2,1,0
ACC000431,Recruitment,Recruitment,2,1,0
ACC000432,Recruitment,Recruitment,2,1,0
ACC000433,Recruitment,Normal,2,1,0
ACC000434,Recruitment,Recruitment,2,1,0
ACC000435,Recruitment,Recruitment,2,1,0
ACC000436,Recruitment,Normal,2,1,0
ACC000437,Recruitment,Recruitment,2,1,0
ACC000438,Recruitment,Recruitment,2,1,0
ACC000439,Recruitment,Recruitment,2,1,0
ACC000440,Recruitment,Normal,2,1,0
ACC000441,Recruitment,Recruitment,2,1,0
ACC000442,Recruitment,Recruitment,2,1,0
ACC000443,Recruitment,Recruitment,2,1,0
ACC000444,Recruitment,Recruitment,2,1,0
ACC000445,Recruitment,Recruitment,2,1,0
ACC000446,Recruitment,Recruitment,2,1,0
ACC000447,Recruitment,Recruitment,2,1,0
ACC000448,Recruitment,Normal,2,1,0
ACC000449,Recruitment,Recruitment,2,1,0
ACC000450,Recruitment,Recruitment,2,1,0
ACC000451,Recruitment,Recruitment,2,1,0
ACC000452,Recruitment,Recruitment,2,1,0
ACC000453,Recruitment,Recruitment,2,1,0
ACC000454,Recruitment,Normal,2,1,0
ACC000455,Recruitment,Normal,2,1,0
ACC000456,Recruitment,Recruitment,2,1,0
ACC000457,Recruitment,Recruitment,2,1,0
ACC000458,Recruitment,Recruitment,2,1,0
ACC000459,Laundering,Laundering,5,0,1
ACC000460,Recruitment,Normal,2,1,0
ACC000461,Recruitment,Recruitment,2,1,0
ACC000462,Recruitment,Recruitment,2,1,0
ACC000463,Recruitment,Recruitment,2,1,0
ACC000464,Recruitment,Normal,2,1,0
ACC000465,Laundering,Laundering,5,0,1
ACC000466,Recruitment,Normal,2,1,0
ACC000467,Recruitment,Recruitment,2,1,0
ACC000468,Recruitment,Recruitment,2,1,0
ACC000469,Recruitment,Recruitment,2,1,0
ACC000470,Recruitment,Recruitment,2,1,0
ACC000471,Recruitment,Recruitment,2,1,0
ACC000472,Recruitment,Recruitment,2,1,0
ACC000473,Recruitment,Recruitment,2,1,0
ACC000474,Recruitment,Recruitment,2,1,0
ACC000475,Recruitment,Normal,2,1,0
ACC000476,Recruitment,Recruitment,2,1,0
ACC000477,Recruitment,Normal,2,1,0
ACC000478,Recruitment,Recruitment,2,1,0
ACC000479,Recruitment,Recruitment,2,1,0
ACC000480,Recruitment,Recruitment,2,1,0
ACC000481,Recruitment,Recruitment,2,1,0
ACC000482,Recruitment,Recruitment,2,1,0
ACC000483,Recruitment,Recruitment,2,1,0
ACC000484,Recruitment,Recruitment,2,1,0
ACC000485,Laundering,Laundering,5,0,1
ACC000486,Laundering,Laundering,5,0,1
ACC000487,Recruitment,Recruitment,2,1,0
ACC000488,Recruitment,Recruitment,2,1,0
ACC000489,Recruitment,Recruitment,2,1,0
ACC000490,Recruitment,Recruitment,2,1,0
ACC000491,Recruitment,Recruitment,2,1,0
ACC000492,Recruitment,Recruitment,2,1,0
ACC000493,Recruitment,Recruitment,2,1,0
ACC000494,Recruitment,Recruitment,2,1,0
ACC000495,Recruitment,Recruitment,2,1,0
ACC000496,Recruitment,Recruitment,2,1,0
ACC000497,Laundering,Laundering,5,0,1
ACC000498,Recruitment,Recruitment,2,1,0
ACC000499,Recruitment,Recruitment,2,1,0
ACC000500,Recruitment,Recruitment,2,1,0
ACC000501,Recruitment,Recruitment,2,1,0
ACC000502,Recruitment,Recruitment,2,1,0
ACC000503,Recruitment,Recruitment,2,1,0
ACC000504,Recruitment,Recruitment,2,1,0
ACC000505,Recruitment,Normal,2,1,0
ACC000506,Recruitment,Recruitment,2,1,0
ACC000507,Recruitment,Recruitment,2,1,0
ACC000508,Recruitment,Recruitment,2,1,0
ACC000509,Recruitment,Recruitment,2,1,0
ACC000510,Recruitment,Recruitment,2,1,0
ACC000511,Recruitment,Recruitment,2,1,0
ACC000512,Recruitment,Recruitment,2,1,0
ACC000513,Recruitment,Recruitment,2,1,0
ACC000514,Recruitment,Recruitment,2,1,0
ACC000515,Laundering,Laundering,5,0,1
ACC000516,Recruitment,Recruitment,2,1,0
ACC000517,Recruitment,Recruitment,2,1,0
ACC000518,Recruitment,Recruitment,2,1,0
ACC000519,Recruitment,Recruitment,2,1,0
ACC000520,Recruitment,Recruitment,2,1,0
ACC000521,Recruitment,Recruitment,2,1,0
ACC000522,Recruitment,Recruitment,2,1,0
ACC000523,Recruitment,Recruitment,2,1,0
ACC000524,Recruitment,Recruitment,2,1,0
ACC000525,Recruitment,Recruitment,2,1,0
ACC000526,Recruitment,Recruitment,2,1,0
ACC000527,Recruitment,Recruitment,2,1,0
ACC000528,Recruitment,Recruitment,2,1,0
ACC000529,Laundering,Laundering,5,0,1
ACC000530,Recruitment,Recruitment,2,1,0
ACC000531,Recruitment,Recruitment,2,1,0
ACC000532,Laundering,Laundering,5,0,1
ACC000533,Recruitment,Recruitment,2,1,0
ACC000534,Recruitment,Recruitment,2,1,0
ACC000535,Recruitment,Recruitment,2,1,0
ACC000536,Recruitment,Recruitment,2,1,0
ACC000537,Recruitment,Recruitment,2,1,0
ACC000538,Recruitment,Recruitment,2,1,0
ACC000539,Recruitment,Recruitment,2,1,0
ACC000540,Laundering,Laundering,5,0,1
ACC000541,Recruitment,Recruitment,2,1,0
ACC000542,Recruitment,Recruitment,2,1,0
ACC000543,Recruitment,Recruitment,2,1,0
ACC000544,Recruitment,Recruitment,2,1,0
ACC000545,Recruitment,Recruitment,2,1,0
ACC000546,Recruitment,Recruitment,2,1,0
ACC000547,Recruitment,Recruitment,2,1,0
ACC000548,Recruitment,Recruitment,2,1,0
ACC000549,Laundering,Laundering,5,0,1
ACC000550,Recruitment,Normal,2,1,0
ACC000551,Recruitment,Recruitment,2,1,0
ACC000552,Recruitment,Recruitment,2,1,0
ACC000553,Recruitment,Recruitment,2,1,0
ACC000554,Recruitment,Recruitment,2,1,0
ACC000555,Recruitment,Recruitment,2,1,0
ACC000556,Recruitment,Recruitment,2,1,0
ACC000557,Recruitment,Recruitment,2,1,0
ACC000558,Recruitment,Recruitment,2,1,0
ACC000559,Recruitment,Normal,2,1,0
ACC000560,Recruitment,Recruitment,2,1,0
ACC000561,Recruitment,Recruitment,2,1,0
ACC000562,Recruitment,Normal,2,1,0
ACC000563,Recruitment,Recruitment,2,1,0
ACC000564,Recruitment,Recruitment,2,1,0
ACC000565,Recruitment,Recruitment,2,1,0
ACC000566,Recruitment,Recruitment,2,1,0
ACC000567,Recruitment,Recruitment,2,1,0
ACC000568,Recruitment,Recruitment,2,1,0
ACC000569,Recruitment,Recruitment,2,1,0
ACC000570,Recruitment,Recruitment,2,1,0
ACC000571,Recruitment,Recruitment,2,1,0
ACC000572,Recruitment,Normal,2,1,0
ACC000573,Laundering,Laundering,5,0,1
ACC000574,Recruitment,Normal,2,1,0
ACC000575,Laundering,Laundering,5,0,1
ACC000576,Recruitment,Normal,2,1,0
ACC000577,Recruitment,Normal,2,1,0
ACC000578,Recruitment,Recruitment,2,1,0
ACC000579,Recruitment,Recruitment,2,1,0
ACC000580,Recruitment,Normal,2,1,0
ACC000581,Recruitment,Recruitment,2,1,0
ACC000582,Recruitment,Recruitment,2,1,0
ACC000583,Recruitment,Recruitment,2,1,0
ACC000584,Laundering,Laundering,5,0,1
ACC000585,Recruitment,Recruitment,2,1,0
ACC000586,Recruitment,Normal,2,1,0
ACC000587,Recruitment,Recruitment,2,1,0
ACC000588,Recruitment,Recruitment,2,1,0
